"origem","estado_origem","destino","estado_destino","aliquota"
MA,Maranhão,AP,Amapá,12.0
MA,Maranhão,BA,Bahia,12.0
MA,Maranhão,CE,Ceará,12.0
MA,Maranhão,DF,Distrito Federal,12.0
MA,Maranhão,ES,Espírito Santo,12.0
MA,Maranhão,GO,Goiás,12.0
MA,Maranhão,MT,Mato Grosso,12.0
MA,Maranhão,MS,Mato Grosso do Sul,12.0
MA,Maranhão,MG,Minas Gerais,12.0
MA,Maranhão,PA,Pará,12.0
MA,Maranhão,PB,Paraíba,12.0
MA,Maranhão,PR,Paraná,12.0
MA,Maranhão,PE,Pernambuco,12.0
MA,Maranhão,PI,Piauí,12.0
MA,Maranhão,RN,Rio Grande do Norte,12.0
MA,Maranhão,RS,Rio Grande do Sul,12.0
MA,Maranhão,RJ,Rio de Janeiro,12.0
MA,Maranhão,RO,Rondônia,12.0
MA,Maranhão,RR,Roraima,12.0
MA,Maranhão,SC,Santa Catarina,12.0
MA,Maranhão,SP,São Paulo,12.0
MA,Maranhão,SE,Sergipe,12.0
MA,Maranhão,TO,Tocantins,12.0
MT,Mato Grosso,AC,Acre,12.0
MT,Mato Grosso,AL,Alagoas,12.0
MT,Mato Grosso,AM,Amazonas,12.0
MT,Mato Grosso,AP,Amapá,12.0
MT,Mato Grosso,BA,Bahia,12.0
MT,Mato Grosso,CE,Ceará,12.0
MT,Mato Grosso,DF,Distrito Federal,12.0
MT,Mato Grosso,ES,Espírito Santo,12.0
MT,Mato Grosso,GO,Goiás,12.0
MT,Mato Grosso,MA,Maranhão,12.0
MT,Mato Grosso,MS,Mato Grosso do Sul,12.0
MT,Mato Grosso,MG,Minas Gerais,12.0
MT,Mato Grosso,PA,Pará,12.0
MT,Mato Grosso,PB,Paraíba,12.0
MT,Mato Grosso,PR,Paraná,12.0
MT,Mato Grosso,PE,Pernambuco,12.0
MT,Mato Grosso,PI,Piauí,12.0
MT,Mato Grosso,RN,Rio Grande do Norte,12.0
MT,Mato Grosso,RS,Rio Grande do Sul,12.0
MT,Mato Grosso,RJ,Rio de Janeiro,12.0
MT,Mato Grosso,RO,Rondônia,12.0
MT,Mato Grosso,RR,Roraima,12.0
MT,Mato Grosso,SC,Santa Catarina,12.0
MT,Mato Grosso,SP,São Paulo,12.0
MT,Mato Grosso,SE,Sergipe,12.0
MT,Mato Grosso,TO,Tocantins,12.0
MS,Mato Grosso do Sul,AC,Acre,12.0
MS,Mato Grosso do Sul,AL,Alagoas,12.0
MS,Mato Grosso do Sul,AM,Amazonas,12.0
MS,Mato Grosso do Sul,AP,Amapá,12.0
MS,Mato Grosso do Sul,BA,Bahia,12.0
MS,Mato Grosso do Sul,CE,Ceará,12.0
MS,Mato Grosso do Sul,DF,Distrito Federal,12.0
MS,Mato Grosso do Sul,ES,Espírito Santo,12.0
MS,Mato Grosso do Sul,GO,Goiás,12.0
MS,Mato Grosso do Sul,MA,Maranhão,12.0
MS,Mato Grosso do Sul,MT,Mato Grosso,12.0
MS,Mato Grosso do Sul,MG,Minas Gerais,12.0
MS,Mato Grosso do Sul,PA,Pará,12.0
MS,Mato Grosso do Sul,PB,Paraíba,12.0
MS,Mato Grosso do Sul,PR,Paraná,12.0
MS,Mato Grosso do Sul,PE,Pernambuco,12.0
